id,title,title_japanese,type,source,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity,members,favorites,rating,duration,year,season,genres,studios,image_url,synopsis
1,Cowboy Bebop,カウボーイビバップ,TV,Original,26,Finished Airing,1998-04-03T00:00:00+00:00,1999-04-24T00:00:00+00:00,8.75,1067191,48,41,2068452,90132,R - 17+ (violence & profanity),24 min per ep,1998,spring,"Action, Award Winning, Sci-Fi",Sunrise,https://cdn.myanimelist.net/images/anime/4/19644.jpg,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.

Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages "
5,Cowboy Bebop: Tengoku no Tobira,カウボーイビバップ 天国の扉,Movie,Original,1,Finished Airing,2001-09-01T00:00:00+00:00,,8.38,232963,243,659,413748,1794,R - 17+ (violence & profanity),1 hr 55 min,,,"Action, Sci-Fi",Bones,https://cdn.myanimelist.net/images/anime/1439/93480.jpg,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.

With lives at stake and a solution to their money problems in si"
6,Trigun,トライガン,TV,Manga,26,Finished Airing,1998-04-01T00:00:00+00:00,1998-09-30T00:00:00+00:00,8.22,402963,421,266,838610,17779,PG-13 - Teens 13 or older,24 min per ep,1998,spring,"Action, Adventure, Sci-Fi",Madhouse,https://cdn.myanimelist.net/images/anime/1130/120002.jpg,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs"
7,Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),TV,Original,26,Finished Airing,2002-07-03T00:00:00+00:00,2002-12-25T00:00:00+00:00,7.24,46409,3481,1997,130321,714,PG-13 - Teens 13 or older,25 min per ep,2002,summer,"Action, Drama, Mystery, Supernatural",Sunrise,https://cdn.myanimelist.net/images/anime/10/19969.jpg,"Though hidden away from the general public, Witches—those with supernatural powers—have always existed in human societies. Neither numerous nor inherently evil, Witches are nonetheless capable of creating disorder by misusing their powers for criminal means. The task of solving supernatural crimes falls outside of the jurisdiction of normal authorities and is instead handled by the Solomon organization.

Having finished her training in Italy, Robin Sena transfers to Solomon's local Japanese bran"
8,Bouken Ou Beet,冒険王ビィト,TV,Manga,52,Finished Airing,2004-09-30T00:00:00+00:00,2005-09-29T00:00:00+00:00,6.97,6953,4912,5954,16671,18,PG - Children,23 min per ep,2004,fall,"Action, Adventure, Fantasy",Toei Animation,https://cdn.myanimelist.net/images/anime/7/21569.jpg,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weap"
15,Eyeshield 21,アイシールド21,TV,Manga,145,Finished Airing,2005-04-06T00:00:00+00:00,2008-03-19T00:00:00+00:00,7.91,93553,886,1433,196358,2130,PG-13 - Teens 13 or older,23 min per ep,2005,spring,Sports,Gallop,https://cdn.myanimelist.net/images/anime/1079/133529.jpg,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad.

As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hid"
16,Hachimitsu to Clover,ハチミツとクローバー,TV,Manga,24,Finished Airing,2005-04-15T00:00:00+00:00,2005-09-27T00:00:00+00:00,7.98,87134,771,988,286246,4214,PG-13 - Teens 13 or older,23 min per ep,2005,spring,"Comedy, Drama, Romance",J.C.Staff,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him.

Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university"
17,Hungry Heart: Wild Striker,ハングリーハート Wild Striker,TV,Manga,52,Finished Airing,2002-09-11T00:00:00+00:00,2003-09-10T00:00:00+00:00,7.57,14081,1869,4925,26828,244,PG-13 - Teens 13 or older,23 min per ep,2002,fall,Sports,Nippon Animation,https://cdn.myanimelist.net/images/anime/12/49655.jpg,"As the younger brother of Japanese soccer star Seisuke Kanou, Kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. Having fallen behind, he now lives in the shadow of his brother's success.

Entering his freshman year at Jouyou Akanegaoka High School, Kyousuke vows never to play soccer again. However, Miki Tsujiwaki, the captain of the girls' soccer team, and Mori Kazuto, the manager of the boys' team, recogniz"
18,Initial D Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,TV,Manga,24,Finished Airing,2004-04-17T00:00:00+00:00,2006-02-18T00:00:00+00:00,8.18,120287,475,1307,216602,1446,PG-13 - Teens 13 or older,27 min per ep,2004,spring,"Action, Drama",A.C.G.T.,https://cdn.myanimelist.net/images/anime/9/10521.jpg,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedic"
19,Monster,モンスター,TV,Manga,74,Finished Airing,2004-04-07T00:00:00+00:00,2005-09-28T00:00:00+00:00,8.89,517544,26,115,1342023,62691,R+ - Mild Nudity,24 min per ep,2004,spring,"Drama, Mystery, Suspense",Madhouse,https://cdn.myanimelist.net/images/anime/10/18793.jpg,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishm"
